time,ShortWave,Cloud,AirTemp,RelHum,WindSpeed,Rain
2020-01-15 16:00:00,769.0,0.0,25.8,38,6.04,0.0
2020-01-15 17:00:00,585.0,0.0,25.0,40,6.28,0.0
2020-01-15 18:00:00,356.0,0.01,23.6,43,6.32,0.0
2020-01-15 19:00:00,139.0,0.0,21.7,48,6.14,0.0
2020-01-15 20:00:00,7.0,0.02,19.8,53,6.16,0.0
2020-01-15 21:00:00,0.0,0.06,18.3,58,5.89,0.0
2020-01-15 22:00:00,0.0,0.11,17.4,62,5.55,0.0
2020-01-15 23:00:00,0.0,0.14,16.8,65,5.1,0.0
2020-01-16 00:00:00,0.0,0.23,16.5,67,4.85,0.0
2020-01-16 01:00:00,0.0,0.32,16.3,69,4.52,0.0
2020-01-16 02:00:00,0.0,0.39,16.1,71,4.4,0.0
2020-01-16 03:00:00,0.0,0.3,15.8,74,4.0,0.0
2020-01-16 04:00:00,0.0,0.23,15.7,76,3.6,0.0
2020-01-16 05:00:00,0.0,0.11,15.6,78,3.3,0.0
2020-01-16 06:00:00,24.0,0.14,15.7,79,3.21,0.0
2020-01-16 07:00:00,156.0,0.1,17.3,74,3.96,0.0
2020-01-16 08:00:00,386.0,0.1,19.6,67,3.93,0.0
2020-01-16 09:00:00,546.0,0.5,21.8,61,3.55,0.0
2020-01-16 10:00:00,758.0,0.77,24.4,54,2.86,0.0
2020-01-16 11:00:00,816.0,0.49,26.2,45,2.83,0.0
2020-01-16 12:00:00,775.0,0.0,27.6,40,3.07,0.0
2020-01-16 13:00:00,934.0,0.0,28.9,35,3.22,0.0
2020-01-16 14:00:00,933.0,0.0,29.7,33,3.14,0.0
2020-01-16 15:00:00,934.0,0.0,29.9,34,2.94,0.0
2020-01-16 16:00:00,771.0,0.01,29.9,33,2.88,0.0
2020-01-16 17:00:00,576.0,0.02,29.5,34,3.36,0.0
2020-01-16 18:00:00,352.0,0.0,28.7,36,4.47,0.0
2020-01-16 19:00:00,135.0,0.0,26.7,42,5.24,0.0
2020-01-16 20:00:00,7.0,0.0,24.0,52,5.99,0.0
2020-01-16 21:00:00,0.0,0.0,21.6,64,5.69,0.0
2020-01-16 22:00:00,0.0,0.0,19.9,74,4.94,0.0
2020-01-16 23:00:00,0.0,0.02,18.8,81,4.49,0.0
2020-01-17 00:00:00,0.0,0.02,18.0,86,4.15,0.0
2020-01-17 01:00:00,0.0,0.1,17.5,88,3.83,0.0
2020-01-17 02:00:00,0.0,0.17,17.3,89,3.7,0.0
2020-01-17 03:00:00,0.0,0.29,16.9,89,3.4,0.0
2020-01-17 04:00:00,0.0,0.8,16.7,91,3.52,0.0
2020-01-17 05:00:00,0.0,1.0,16.8,91,3.88,0.0
2020-01-17 06:00:00,11.0,1.0,17.2,88,4.8,0.0
2020-01-17 07:00:00,68.0,1.0,18.0,84,4.39,0.0
